image_id,question,answer,label,prompts
2359302,How many windows are visible on the side of the bus?,10,False,How many windows are visible on the side of the bus? 10
2359302,How many windows are visible on the side of the bus?,11,True,How many windows are visible on the side of the bus? 11
50,How many push pins are there?,3,False,How many push pins are there? 3
50,How many push pins are there?,4,False,How many push pins are there? 4
50,How many push pins are there?,5,False,How many push pins are there? 5
50,How many push pins are there?,6,True,How many push pins are there? 6
50,How many remotes are there?,0,False,How many remotes are there? 0
50,How many remotes are there?,2,False,How many remotes are there? 2
50,How many remotes are there?,3,False,How many remotes are there? 3
50,How many remotes are there?,1,True,How many remotes are there? 1
2359362,How many signs are in the picture?,9,False,How many signs are in the picture? 9
2359362,How many signs are in the picture?,6,False,How many signs are in the picture? 6
2359362,How many signs are in the picture?,1,False,How many signs are in the picture? 1
2359362,How many signs are in the picture?,2,True,How many signs are in the picture? 2
2359392,How many lights?,3,False,How many lights? 3
2359392,How many lights?,4,False,How many lights? 4
2359392,How many lights?,5,False,How many lights? 5
2359392,How many lights?,2,True,How many lights? 2
2359423,How many people can be seen?,1,False,How many people can be seen? 1
2359423,How many people can be seen?,5,False,How many people can be seen? 5
2359423,How many people can be seen?,4,False,How many people can be seen? 4
2359423,How many people can be seen?,9,True,How many people can be seen? 9
2359462,How many horses?,3,False,How many horses? 3
2359462,How many horses?,2,False,How many horses? 2
2359462,How many horses?,1,False,How many horses? 1
2359462,How many horses?,4,True,How many horses? 4
2359476,How many letters are on the keyboard?,11,False,How many letters are on the keyboard? 11
209,How many rooms are shown?,2,False,How many rooms are shown? 2
209,How many rooms are shown?,3,False,How many rooms are shown? 3
209,How many rooms are shown?,4,False,How many rooms are shown? 4
209,How many rooms are shown?,1,True,How many rooms are shown? 1
2359526,How many lights above the bike?,2,False,How many lights above the bike? 2
2359526,How many lights above the bike?,3,False,How many lights above the bike? 3
2359526,How many lights above the bike?,4,False,How many lights above the bike? 4
2359526,How many lights above the bike?,1,True,How many lights above the bike? 1
2359546,How many people are in the photograph?,1,False,How many people are in the photograph? 1
2359546,How many people are in the photograph?,6,False,How many people are in the photograph? 6
2359546,How many people are in the photograph?,3,False,How many people are in the photograph? 3
2359546,How many people are in the photograph?,2,True,How many people are in the photograph? 2
2359547,How many people are in the photograph?,1,False,How many people are in the photograph? 1
2359547,How many people are in the photograph?,2,False,How many people are in the photograph? 2
2359547,How many people are in the photograph?,5,False,How many people are in the photograph? 5
2359547,How many people are in the photograph?,4,True,How many people are in the photograph? 4
2359547,How many players are on the green team?,1,False,How many players are on the green team? 1
2359547,How many players are on the green team?,2,False,How many players are on the green team? 2
2359547,How many players are on the green team?,5,False,How many players are on the green team? 5
2359547,How many players are on the green team?,3,True,How many players are on the green team? 3
276,How many cars are there?,3,False,How many cars are there? 3
276,How many cars are there?,4,False,How many cars are there? 4
276,How many cars are there?,5,False,How many cars are there? 5
276,How many cars are there?,2,True,How many cars are there? 2
276,How many tall trees are there?,3,False,How many tall trees are there? 3
276,How many tall trees are there?,4,False,How many tall trees are there? 4
276,How many tall trees are there?,5,False,How many tall trees are there? 5
276,How many tall trees are there?,2,True,How many tall trees are there? 2
2359573,How many elephants are on the picture?,1,False,How many elephants are on the picture? 1
2359573,How many elephants are on the picture?,3,False,How many elephants are on the picture? 3
2359573,How many elephants are on the picture?,4,False,How many elephants are on the picture? 4
2359573,How many elephants are on the picture?,2,True,How many elephants are on the picture? 2
2359578,How many tracks are trainless?,2,False,How many tracks are trainless? 2
2359578,How many tracks are trainless?,3,False,How many tracks are trainless? 3
2359578,How many tracks are trainless?,4,False,How many tracks are trainless? 4
2359578,How many tracks are trainless?,1,True,How many tracks are trainless? 1
2359578,How many plants have leaves?,1,False,How many plants have leaves? 1
2359578,How many plants have leaves?,2,False,How many plants have leaves? 2
2359578,How many plants have leaves?,3,False,How many plants have leaves? 3
2359578,How many plants have leaves?,0,True,How many plants have leaves? 0
2359578,How many trains have a yellow front?,2,False,How many trains have a yellow front? 2
2359578,How many trains have a yellow front?,3,False,How many trains have a yellow front? 3
2359578,How many trains have a yellow front?,4,False,How many trains have a yellow front? 4
2359578,How many trains have a yellow front?,1,True,How many trains have a yellow front? 1
2359593,How many wheels are in this picture?,5,False,How many wheels are in this picture? 5
2359593,How many wheels are in this picture?,4,False,How many wheels are in this picture? 4
2359593,How many wheels are in this picture?,3,False,How many wheels are in this picture? 3
2359593,How many wheels are in this picture?,6,True,How many wheels are in this picture? 6
2359614,How many zebras are there?,3,False,How many zebras are there? 3
2359614,How many zebras are there?,4,False,How many zebras are there? 4
2359614,How many zebras are there?,5,False,How many zebras are there? 5
2359614,How many zebras are there?,2,True,How many zebras are there? 2
2359616,How many pieces of bread are shown?,1,False,How many pieces of bread are shown? 1
2359616,How many pieces of bread are shown?,5,False,How many pieces of bread are shown? 5
2359616,How many pieces of bread are shown?,6,False,How many pieces of bread are shown? 6
2359616,How many pieces of bread are shown?,2,True,How many pieces of bread are shown? 2
2359669,How many slices are missing from the pizza?,2,False,How many slices are missing from the pizza? 2
2359669,How many slices are missing from the pizza?,3,False,How many slices are missing from the pizza? 3
2359669,How many slices are missing from the pizza?,4,False,How many slices are missing from the pizza? 4
2359669,How many slices are missing from the pizza?,1,True,How many slices are missing from the pizza? 1
2359669,How many utensils are in this picture?,3,False,How many utensils are in this picture? 3
2359669,How many utensils are in this picture?,4,False,How many utensils are in this picture? 4
2359669,How many utensils are in this picture?,5,False,How many utensils are in this picture? 5
2359669,How many utensils are in this picture?,2,True,How many utensils are in this picture? 2
2359678,How many birds are there?,12,False,How many birds are there? 12
2359678,How many birds are there?,13,False,How many birds are there? 13
2359678,How many birds are there?,5,False,How many birds are there? 5
2359678,How many birds are there?,3,True,How many birds are there? 3
2359692,How many cows are there?,9,False,How many cows are there? 9
2359692,How many cows are there?,8,False,How many cows are there? 8
2359692,How many cows are there?,7,False,How many cows are there? 7
2359692,How many cows are there?,10,True,How many cows are there? 10
2359762,How many colors of paint is on the bus?,3,False,How many colors of paint is on the bus? 3
2359762,How many colors of paint is on the bus?,2,False,How many colors of paint is on the bus? 2
2359762,How many colors of paint is on the bus?,1,False,How many colors of paint is on the bus? 1
2359762,How many colors of paint is on the bus?,4,True,How many colors of paint is on the bus? 4
2359778,How many glass panels are there?,10,False,How many glass panels are there? 10
2359778,How many glass panels are there?,13,False,How many glass panels are there? 13
2359778,How many glass panels are there?,5,False,How many glass panels are there? 5
2359778,How many glass panels are there?,12,True,How many glass panels are there? 12
2359816,How many bananas can be seen?,1,False,How many bananas can be seen? 1
2359816,How many bananas can be seen?,6,False,How many bananas can be seen? 6
2359816,How many bananas can be seen?,9,False,How many bananas can be seen? 9
2359816,How many bananas can be seen?,2,True,How many bananas can be seen? 2
2359819,How many geese are there?,12,False,How many geese are there? 12
2359819,How many geese are there?,13,False,How many geese are there? 13
2359819,How many geese are there?,5,False,How many geese are there? 5
2359819,How many geese are there?,18,True,How many geese are there? 18
2359837,How many white plates are on the table?,1,False,How many white plates are on the table? 1
2359837,How many white plates are on the table?,3,False,How many white plates are on the table? 3
2359837,How many white plates are on the table?,0,False,How many white plates are on the table? 0
2359837,How many white plates are on the table?,2,True,How many white plates are on the table? 2
2359852,How many people on the court?,2,False,How many people on the court? 2
2359852,How many people on the court?,3,False,How many people on the court? 3
2359852,How many people on the court?,4,False,How many people on the court? 4
2359852,How many people on the court?,1,True,How many people on the court? 1
2359853,How many rolls of paper are there?,11,False,How many rolls of paper are there? 11
2359853,How many rolls of paper are there?,10,False,How many rolls of paper are there? 10
2359853,How many rolls of paper are there?,9,False,How many rolls of paper are there? 9
2359853,How many rolls of paper are there?,12,True,How many rolls of paper are there? 12
2359865,How many people are on the track?,5,False,How many people are on the track? 5
2359865,How many people are on the track?,3,False,How many people are on the track? 3
2359865,How many people are on the track?,0,True,How many people are on the track? 0
2359880,How many chairs are stacked in the corner?,2,False,How many chairs are stacked in the corner? 2
2359880,How many chairs are stacked in the corner?,4,False,How many chairs are stacked in the corner? 4
2359880,How many chairs are stacked in the corner?,5,False,How many chairs are stacked in the corner? 5
2359880,How many chairs are stacked in the corner?,3,True,How many chairs are stacked in the corner? 3
2359911,How many vehicles can be seen in the picture?,4,False,How many vehicles can be seen in the picture? 4
2359911,How many vehicles can be seen in the picture?,7,False,How many vehicles can be seen in the picture? 7
2359911,How many vehicles can be seen in the picture?,9,False,How many vehicles can be seen in the picture? 9
2359911,How many vehicles can be seen in the picture?,3,True,How many vehicles can be seen in the picture? 3
2359964,How many people are visible directly on the tennis court?,8,False,How many people are visible directly on the tennis court? 8
2359964,How many people are visible directly on the tennis court?,6,False,How many people are visible directly on the tennis court? 6
2359964,How many people are visible directly on the tennis court?,9,False,How many people are visible directly on the tennis court? 9
2359964,How many people are visible directly on the tennis court?,4,True,How many people are visible directly on the tennis court? 4
2360005,How many trains are visible?,8,False,How many trains are visible? 8
2360005,How many trains are visible?,7,False,How many trains are visible? 7
2360005,How many trains are visible?,6,False,How many trains are visible? 6
2360005,How many trains are visible?,1,True,How many trains are visible? 1
2360014,How many people are there?,1,False,How many people are there? 1
